Name,Party,Votes,Constituency,Region
LAIRUMBE John Emanuel Kivuyo,ACT-Wazalendo,2492,Arumeru Magharibi,Arusha
NOAH Lemburis Saputu Mollel,CCM,72160,Arumeru Magharibi,Arusha
OLE MEISEYEKI Gibson Blasius,CHADEMA,22743,Arumeru Magharibi,Arusha
ARAFA Mohamedy Muya,CUF,329,Arumeru Magharibi,Arusha
Mch. LAIZER Loilole Wilson,NCCR-Mageuzi,323,Arumeru Magharibi,Arusha
TUMAINI Andrea Akyoo,UPDP,169,Arumeru Magharibi,Arusha
Dkt. PALLANGYO John Danielson,CCM,84858,Arumeru Mashariki,Arusha
REBECCA Michael Mngodo,CHADEMA,14688,Arumeru Mashariki,Arusha
HUSNA Tomasi Kundi,AAFP,831,Arusha Mjini,Arusha
ZUBERI Mwinyi Hamisi,ADA-TADEA,249,Arusha Mjini,Arusha
MATHAYO Richard Membi,CCK,245,Arusha Mjini,Arusha
GAMBO Mrisho Mashaka,CCM,82480,Arusha Mjini,Arusha
LEMA Godbless Jonathan,CHADEMA,46489,Arusha Mjini,Arusha
MAGDALENA Loonjumuya Shangay,CUF,177,Arusha Mjini,Arusha
ELIZABETH Geofrey Sembuche,DP,33,Arusha Mjini,Arusha
MKAMA Rashid Jaralya,N.R. A,57,Arusha Mjini,Arusha
HEFSIBA Reward Kiwelu,NCCR-Mageuzi,77,Arusha Mjini,Arusha
SIMON Johnson Bayo,SAU,88,Arusha Mjini,Arusha
ALFRED Nicolas Mollel,UDP,66,Arusha Mjini,Arusha
HAPPY Eliasi Sumari,UPDP,80,Arusha Mjini,Arusha
PANGA Constantine Kanso,ACT-Wazalendo,803,Karatu,Arusha
AWACK Daniel Tlemai,CCM,49042,Karatu,Arusha
CECILIA Daniel Paresso,CHADEMA,31150,Karatu,Arusha
EMMANUEL Patrick Qaymo,CHAUMMA,424,Karatu,Arusha
JOSEPH Jacob Paulo,NCCR-Mageuzi,127,Karatu,Arusha
JOSEPH Cresent Balde,NLD,140,Karatu,Arusha
KIRUSWA Steven Lemomo,CCM,61885,Longido,Arusha
PAULINA Lukas Laizer,CHADEMA,1037,Longido,Arusha
MKADAM Kombo Mkadam,CUF,65,Longido,Arusha
FERUZIY Juma Feruziyson,N.R. A,21,Longido,Arusha
MWAHIJA Khalfan Chogga,ACT-Wazalendo,485,Monduli,Arusha
FREDRICK Edward Lowassa,CCM,72502,Monduli,Arusha
CECILIAN Samson Ndossi,CHADEMA,4637,Monduli,Arusha
ADAM Mohamed Kijuu,N.R. A,145,Monduli,Arusha
SUPEET K. Olepuruko,ACT-Wazalendo,1080,Ngorongoro,Arusha
WILLIAM Tate Olenasha,CCM,63536,Ngorongoro,Arusha
JACQUELINE Aisaa Swai,CHADEMA,7983,Ngorongoro,Arusha
KILASA Mohamedi Mogwa,AAFP,216,Ilala,Dar Es Salaam
HUSSEIN Juma Abdallah,ACT-Wazalendo,1487,Ilala,Dar Es Salaam
ASIA Hamimu Hokororo,ADA-TADEA,66,Ilala,Dar Es Salaam
MAINISHO Athumani Itesi,CCK,153,Ilala,Dar Es Salaam
ZUNGU Azzan Mussa,CCM,26496,Ilala,Dar Es Salaam
HASHIM Juma Issak,CHADEMA,6534,Ilala,Dar Es Salaam
ABDALLAH Ally Kabara,CHAUMMA,110,Ilala,Dar Es Salaam
RASHIDI Mwinshehe Mzange,CUF,466,Ilala,Dar Es Salaam
SELEMANI Musa Mpeneka,DEMOKRASIA MAKINI,29,Ilala,Dar Es Salaam
CLINTON Nicolas Jovin,NCCR-Mageuzi,110,Ilala,Dar Es Salaam
AMINA Athumani Ahungu,SAU,47,Ilala,Dar Es Salaam
SAMWEL Gipson Kissanga,UDP,14,Ilala,Dar Es Salaam
LEILA Hamad Salehe,UMD,43,Ilala,Dar Es Salaam
AMINA Amiri Mcheka,AAFP,374,Kawe,Dar Es Salaam
GODBLESS Andrew Msofe,ACT-Wazalendo,585,Kawe,Dar Es Salaam
HASSAN Shabani Mvungi,ADC,532,Kawe,Dar Es Salaam
BEATRICE Chiduo Fundi,CCK,1422,Kawe,Dar Es Salaam
ASKOFU JOSEPHAT Mathias Gwajima,CCM,194833,Kawe,Dar Es Salaam
MDEE Halima James,CHADEMA,32524,Kawe,Dar Es Salaam
HAMADY Ramadhani Namungu,CHAUMMA,426,Kawe,Dar Es Salaam
SALIMIN Suleiman Kisamo,CUF,461,Kawe,Dar Es Salaam
JACKSON Jeremia Liwola,DEMOKRASIA MAKINI,39,Kawe,Dar Es Salaam
ZUBERI Said Madunda,DP,60,Kawe,Dar Es Salaam
MARTHA Raphael Chiomba,NCCR-Mageuzi,279,Kawe,Dar Es Salaam
MWANKINA Emmanuel Mosses,NLD,43,Kawe,Dar Es Salaam
MARIA Alfred Kakili,SAU,53,Kawe,Dar Es Salaam
AMANDUS Joseph Komba,TLP,67,Kawe,Dar Es Salaam
ALFRED Joram Ernest,UDP,44,Kawe,Dar Es Salaam
GRACE Mwangi Almas,UMD,51,Kawe,Dar Es Salaam
MARY Moses Daudi,UPDP,72,Kawe,Dar Es Salaam
MWESIGWA Zaidi Siraji,ACT-Wazalendo,842,Kibamba,Dar Es Salaam
ABASI Bushiri Diwani,ADA-TADEA,158,Kibamba,Dar Es Salaam
SIRIWA Innocent Gabriel,ADC,165,Kibamba,Dar Es Salaam
MABRUKI Naomi William,CCK,268,Kibamba,Dar Es Salaam
MTEMVU Issa Jumanne,CCM,54496,Kibamba,Dar Es Salaam
MGAWE Ernest Stanley,CHADEMA,19744,Kibamba,Dar Es Salaam
MARY Osward Mpangala,CHAUMMA,183,Kibamba,Dar Es Salaam
HILDA Amon Mria,CUF,173,Kibamba,Dar Es Salaam
NEEMA Balama George,N.R. A,19,Kibamba,Dar Es Salaam
EVELYN Wilbard Munisi,NCCR-Mageuzi,141,Kibamba,Dar Es Salaam
LEAH Revington Minja,NLD,11,Kibamba,Dar Es Salaam
KUNJE Ngombale Mwiru,SAU,28,Kibamba,Dar Es Salaam
AIVAN Jackson Maganza,TLP,37,Kibamba,Dar Es Salaam
MADIRISHA Mbaga Pauline,UDP,19,Kibamba,Dar Es Salaam
AMINA Hassan Mumba,UMD,60,Kibamba,Dar Es Salaam
BEATRICE Omar Muya,UPDP,77,Kibamba,Dar Es Salaam
SAIDI Ally Kilindo,AAFP,512,Kigamboni,Dar Es Salaam
MWANAISHA Zuberi Mndeme,ACT-Wazalendo,1952,Kigamboni,Dar Es Salaam
SEKELA Godfrey Kayuni,ADC,468,Kigamboni,Dar Es Salaam
NDUGULILE Faustine Engelbert,CCM,34540,Kigamboni,Dar Es Salaam
MAGERELI Lucy Simon,CHADEMA,11306,Kigamboni,Dar Es Salaam
SALAMA Omar Masoud,CUF,544,Kigamboni,Dar Es Salaam
HAMISI Athumani Urembo,DP,67,Kigamboni,Dar Es Salaam
ZUMBA Edward Kapele,UDP,106,Kigamboni,Dar Es Salaam
HALIMA Abdallah Magambo,AAFP,243,Kinondoni,Dar Es Salaam
KUBENEA Saed Ahmed,ACT-Wazalendo,5948,Kinondoni,Dar Es Salaam
DIANAROSE Joseph Mhoja,ADA-TADEA,122,Kinondoni,Dar Es Salaam
SALUM Omary Changarawe,ADC,61,Kinondoni,Dar Es Salaam
DANIEL Jackson Bulenge,CCK,1561,Kinondoni,Dar Es Salaam
TARIMBA Gulam Abbas,CCM,112014,Kinondoni,Dar Es Salaam
SUSAN Anselm Lyimo,CHADEMA,11260,Kinondoni,Dar Es Salaam
IMAMU Abdillahi Juma,CHAUMMA,215,Kinondoni,Dar Es Salaam
RAJAB Salim Juma,CUF,2000,Kinondoni,Dar Es Salaam
TATU Shehe Idd,DEMOKRASIA MAKINI,32,Kinondoni,Dar Es Salaam
ATHUMANI Mussa Kitemo,DP,31,Kinondoni,Dar Es Salaam
WINFRIDA George Balama,N.R. A,32,Kinondoni,Dar Es Salaam
MURO Mustafa Abdul,NCCR-Mageuzi,411,Kinondoni,Dar Es Salaam
HALIMA Rajabu Mshana,SAU,32,Kinondoni,Dar Es Salaam
FRED Nashon Matari,TLP,31,Kinondoni,Dar Es Salaam
HAPPYNESS Saimon Yusuph,UDP,17,Kinondoni,Dar Es Salaam
HANIFA Sembe Mohamed,UMD,17,Kinondoni,Dar Es Salaam
CHRISTOPHER Ponziano Kadinde,UPDP,36,Kinondoni,Dar Es Salaam
NDONGE Said Ndonge,AAFP,837,Mbagala,Dar Es Salaam
BUNGO Kondo Juma,ACT-Wazalendo,3856,Mbagala,Dar Es Salaam
NASSORO Miraji Salehe,ADA-TADEA,424,Mbagala,Dar Es Salaam
ASHA Sultani Milongea,ADC,1030,Mbagala,Dar Es Salaam
CHAUREMBO Abdallah Jafari,CCM,280003,Mbagala,Dar Es Salaam
KHADIJA Said Mwago,CHADEMA,13985,Mbagala,Dar Es Salaam
MWAKYEMBE Paul Andrew,CHAUMMA,406,Mbagala,Dar Es Salaam
KAMBAYA Abdul Juma,CUF,1536,Mbagala,Dar Es Salaam
SALMA Hamisi Simbila,DEMOKRASIA MAKINI,1602,Mbagala,Dar Es Salaam
REHEMA Kilai Mayuya,DP,1556,Mbagala,Dar Es Salaam
ARABI Rashidi Sadalah,N.R. A,1627,Mbagala,Dar Es Salaam
NKUMBI Juma Shaaban,NCCR-Mageuzi,1686,Mbagala,Dar Es Salaam
DENIS Emmanuel Mafikiri,SAU,1700,Mbagala,Dar Es Salaam
MAGRETH Mathongo Mwita,UDP,1678,Mbagala,Dar Es Salaam
MKECHU Sembe Mohamed,UMD,1563,Mbagala,Dar Es Salaam
ZAWADI Mohamed Mustafa,AAFP,611,Segerea,Dar Es Salaam
MAHARAGANDE Mbarala Abdallah,ACT-Wazalendo,4454,Segerea,Dar Es Salaam
NURU Athumani Mwangila,ADA-TADEA,220,Segerea,Dar Es Salaam
ZAITUNI Said Athumani,ADC,138,Segerea,Dar Es Salaam
HERISTUS Elias Ndali,CCK,396,Segerea,Dar Es Salaam
BONNAH Ladislaus Kamoli,CCM,76828,Segerea,Dar Es Salaam
